method,model,n_stations,device,n_gpus,n_cpus,K,runtime_s,metric,success_rate,path,p_f1,s_f1
native,EQCCT,250,cpu,0,5,,26.623537600000002,inference_s,1.0,annotate_bf16/stead/250st/EQCCT/cpu/cpus5/thr5/bs512/merged/xfer/result.json,0.8978723404255319,0.9423868312757201
native,EQCCT,250,cpu,0,10,,24.5225738,inference_s,1.0,annotate_bf16/stead/250st/EQCCT/cpu/cpus10/thr10/bs512/merged/xfer/result.json,0.8978723404255319,0.9423868312757201
native,EQCCT,250,cpu,0,15,,23.1284764,inference_s,1.0,annotate_bf16/stead/250st/EQCCT/cpu/cpus15/thr15/bs512/merged/xfer/result.json,0.8978723404255319,0.9423868312757201
native,EQCCT,250,cpu,0,20,,22.7918236,inference_s,1.0,annotate_bf16/stead/250st/EQCCT/cpu/cpus20/thr20/bs512/merged/xfer/result.json,0.8978723404255319,0.9423868312757201
native,EQCCT,250,gpu,1,5,,0.7077272,inference_s,1.0,annotate_bf16/stead/250st/EQCCT/gpu/cpus5/thr5/bs512/merged/xfer/result.json,0.8978723404255319,0.9423868312757201
native,EQCCT,250,gpu,1,10,,0.7298148,inference_s,1.0,annotate_bf16/stead/250st/EQCCT/gpu/cpus10/thr10/bs512/merged/xfer/result.json,0.8978723404255319,0.9423868312757201
native,EQCCT,250,gpu,1,15,,0.7440554,inference_s,1.0,annotate_bf16/stead/250st/EQCCT/gpu/cpus15/thr15/bs512/merged/xfer/result.json,0.8978723404255319,0.9423868312757201
native,EQCCT,250,gpu,1,20,,0.733289,inference_s,1.0,annotate_bf16/stead/250st/EQCCT/gpu/cpus20/thr20/bs512/merged/xfer/result.json,0.8978723404255319,0.9423868312757201
native,EQCCT,580,cpu,0,5,,59.342576,inference_s,1.0,annotate_bf16/stead/580st/EQCCT/cpu/cpus5/thr5/bs512/merged/xfer/result.json,0.90524379024839,0.9463500439753737
native,EQCCT,580,cpu,0,10,,50.2615328,inference_s,1.0,annotate_bf16/stead/580st/EQCCT/cpu/cpus10/thr10/bs512/merged/xfer/result.json,0.90524379024839,0.9463500439753737
native,EQCCT,580,cpu,0,15,,49.064278,inference_s,1.0,annotate_bf16/stead/580st/EQCCT/cpu/cpus15/thr15/bs512/merged/xfer/result.json,0.90524379024839,0.9463500439753737
native,EQCCT,580,cpu,0,20,,47.2152834,inference_s,1.0,annotate_bf16/stead/580st/EQCCT/cpu/cpus20/thr20/bs512/merged/xfer/result.json,0.90524379024839,0.9463500439753737
native,EQCCT,580,gpu,1,5,,1.6403616,inference_s,1.0,annotate_bf16/stead/580st/EQCCT/gpu/cpus5/thr5/bs512/merged/xfer/result.json,0.90524379024839,0.9463500439753737
native,EQCCT,580,gpu,1,10,,1.6558826,inference_s,1.0,annotate_bf16/stead/580st/EQCCT/gpu/cpus10/thr10/bs512/merged/xfer/result.json,0.90524379024839,0.9463500439753737
